checkpoint,run,score,player
checkpoint-3002,7,36,DEFENSIVE
checkpoint-3002,8,36,NN
checkpoint-3002,8,36,AGGRESSIVE
checkpoint-3002,8,36,GREEDY
checkpoint-3002,8,36,DEFENSIVE
checkpoint-3002,9,36,NN
checkpoint-3002,9,36,AGGRESSIVE
checkpoint-3002,9,36,GREEDY
checkpoint-3002,9,38,DEFENSIVE
checkpoint-3002,10,37,NN
checkpoint-3002,10,36,AGGRESSIVE
checkpoint-3002,10,36,DEFENSIVE
checkpoint-3002,10,36,GREEDY
checkpoint-3002,11,36,AGGRESSIVE
checkpoint-3002,11,36,DEFENSIVE
checkpoint-3002,11,37,NN
checkpoint-3002,11,48,GREEDY
checkpoint-3002,12,36,GREEDY
checkpoint-3002,12,37,DEFENSIVE
checkpoint-3002,12,40,AGGRESSIVE
checkpoint-3002,12,44,NN
checkpoint-3002,13,36,DEFENSIVE
checkpoint-3002,13,36,AGGRESSIVE
checkpoint-3002,13,41,NN
checkpoint-3002,13,44,GREEDY
checkpoint-3002,14,36,GREEDY
checkpoint-3002,14,37,AGGRESSIVE
checkpoint-3002,14,37,DEFENSIVE
checkpoint-3002,14,42,NN
checkpoint-3002,15,36,NN
checkpoint-3002,15,37,AGGRESSIVE
checkpoint-3002,15,36,GREEDY
checkpoint-3002,15,36,DEFENSIVE
checkpoint-3002,16,36,AGGRESSIVE
checkpoint-3002,16,39,NN
checkpoint-3002,16,36,GREEDY
checkpoint-3002,16,36,DEFENSIVE
checkpoint-3002,17,36,NN
checkpoint-3002,17,36,AGGRESSIVE
checkpoint-3002,17,36,GREEDY
checkpoint-3002,17,36,DEFENSIVE
checkpoint-3002,18,36,AGGRESSIVE
checkpoint-3002,18,36,NN
checkpoint-3002,18,36,GREEDY
checkpoint-3002,18,0,DEFENSIVE
checkpoint-3002,19,0,NN
checkpoint-3002,19,0,AGGRESSIVE
checkpoint-3002,19,0,GREEDY
checkpoint-3002,19,0,DEFENSIVE
checkpoint-3002,20,0,NN
checkpoint-3002,20,0,AGGRESSIVE
checkpoint-3002,20,0,GREEDY
checkpoint-3002,20,0,DEFENSIVE
checkpoint-3002,21,0,NN
checkpoint-3002,21,0,AGGRESSIVE
checkpoint-3518,0,36,GREEDY
checkpoint-3518,0,36,AGGRESSIVE
checkpoint-3518,0,40,DEFENSIVE
checkpoint-3518,0,62,NN
